name,seed,best_validation_accuracy,epochs_trained,clean_accuracy,fgsm_accuracy,pgd_accuracy,sigma_lateral,sigma_prop,sigma_add,pyramid,sigma_pyramid,gamma,b,sigma_axon,sigma_dendrite,attack_epsilon,pgd_alpha,pgd_steps
axon_002,42,0.7462794918330309,50,0.7428944789284547,0.022541653054557333,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.02,0.0,0.03137254901960784,0.00784313725490196,10
axon_002,43,0.7491833030852995,50,0.743547860176413,0.02188827180659915,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.02,0.0,0.03137254901960784,0.00784313725490196,10
axon_002,44,0.7488203266787659,50,0.7422410976804966,0.024175106174452794,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.02,0.0,0.03137254901960784,0.00784313725490196,10
baseline,42,0.7455535390199637,50,0.7428944789284547,0.022541653054557333,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
baseline,43,0.7477313974591652,50,0.7428944789284547,0.02352172492649461,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
baseline,44,0.7488203266787659,50,0.7451813132963084,0.022868343678536424,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
combined_low,42,0.7426497277676951,50,0.7415877164325384,0.020908199934661875,0.0,0.03,0.05,0.005,True,0.01,1.0,1.0,0.01,0.01,0.03137254901960784,0.00784313725490196,10
combined_low,43,0.7466424682395645,50,0.7412610258085593,0.019274746814766416,0.0,0.03,0.05,0.005,True,0.01,1.0,1.0,0.01,0.01,0.03137254901960784,0.00784313725490196,10
combined_low,44,0.7430127041742287,50,0.7461613851682457,0.018621365566808233,0.0,0.03,0.05,0.005,True,0.01,1.0,1.0,0.01,0.01,0.03137254901960784,0.00784313725490196,10
contrast_p010_a001,42,0.7466424682395645,50,0.7468147664162038,0.021234890558640966,0.0,0.0,0.1,0.01,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
contrast_p010_a001,43,0.7499092558983667,50,0.743874550800392,0.024175106174452794,0.0,0.0,0.1,0.01,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
contrast_p010_a001,44,0.7484573502722323,50,0.7455080039202875,0.021234890558640966,0.0,0.0,0.1,0.01,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
dendrite_002,42,0.7484573502722323,50,0.7481215289121202,0.02352172492649461,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.0,0.02,0.03137254901960784,0.00784313725490196,10
dendrite_002,43,0.7484573502722323,50,0.7451813132963084,0.02188827180659915,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.0,0.02,0.03137254901960784,0.00784313725490196,10
dendrite_002,44,0.747005444646098,50,0.7432211695524339,0.02319503430251552,0.0,0.0,0.0,0.0,False,0.0,1.0,1.0,0.0,0.02,0.03137254901960784,0.00784313725490196,10
lateral_005,42,0.7459165154264973,50,0.7389741914407056,0.023848415550473703,0.0,0.05,0.0,0.0,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
lateral_005,43,0.7462794918330309,50,0.7442012414243712,0.02352172492649461,0.0,0.05,0.0,0.0,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
lateral_005,44,0.7441016333938294,50,0.7432211695524339,0.0199281280627246,0.0,0.05,0.0,0.0,False,0.0,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
pyramidal_002,42,0.74010889292196,50,0.7412610258085593,0.024501796798431886,0.0,0.0,0.0,0.0,True,0.02,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
pyramidal_002,43,0.7473684210526316,50,0.7409343351845802,0.020581509310682783,0.0,0.0,0.0,0.0,True,0.02,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
pyramidal_002,44,0.7462794918330309,50,0.7451813132963084,0.023848415550473703,0.0,0.0,0.0,0.0,True,0.02,1.0,1.0,0.0,0.0,0.03137254901960784,0.00784313725490196,10
