Model,Accuracy,Attacked Accuracy FGSM,Attacked Accuracy PGD
Baseline Model,0.8573282747603834,0.07179588607594936,0.0016811708860759494
Model_0.15_0.0_0.0_0.0_0.0_0.0,0.8568290734824281,0.24970332278481014,0.21281645569620253
Model_40_linear_w10_r20_0.15_0.0_0.0_0.0_0.0_0.0,0.8591253993610224,0.12519778481012658,0.046083860759493674
Model_0.0_0.15_0.0_0.0_0.0_0.0,0.8577276357827476,0.22270569620253164,0.17899525316455697
Model_40_linear_w10_r20_0.0_0.15_0.0_0.0_0.0_0.0,0.8637180511182109,0.13666930379746836,0.03639240506329114
Model_0.0_0.0_0.04_0.0_0.0_0.0,0.8628194888178914,0.23427610759493672,0.17316060126582278
Model_40_linear_w10_r20_0.0_0.0_0.04_0.0_0.0_0.0,0.8629193290734825,0.11530854430379747,0.022844145569620253
Model_0.0_0.0_0.0_0.002_0.0_0.0,0.8600239616613419,0.23190268987341772,0.20826740506329114
Model_40_linear_w10_r20_0.0_0.0_0.0_0.002_0.0_0.0,0.8628194888178914,0.12648338607594936,0.026206487341772153
Model_0.0_0.0_0.0_0.0_0.001_0.0,0.8651158146964856,0.21736550632911392,0.17830300632911392
Model_40_linear_w10_r20_0.0_0.0_0.0_0.0_0.001_0.0,0.8642172523961661,0.11995648734177215,0.03134889240506329
Model_0.0_0.0_0.0_0.0_0.0_0.003,0.8646166134185304,0.208564082278481,0.1685126582278481
Model_40_linear_w10_r20_0.0_0.0_0.0_0.0_0.0_0.003,0.8580271565495208,0.1183742088607595,0.019877373417721517
Model_0.15_0.15_0.04_0.0_0.0_0.0,0.8589257188498403,0.22616693037974683,0.16208465189873417
Model_40_linear_w10_r20_0.15_0.15_0.04_0.0_0.0_0.0,0.8590255591054313,0.13706487341772153,0.034612341772151896
Model_0.0_0.0_0.0_0.002_0.001_0.003,0.8630191693290735,0.24831882911392406,0.203125
Model_40_linear_w10_r20_0.0_0.0_0.0_0.002_0.001_0.003,0.8679113418530351,0.11787974683544304,0.02966772151898734
Model_0.15_0.0_0.0_0.002_0.0_0.0,0.8592252396166135,0.18601661392405064,0.15209651898734178
Model_40_linear_w10_r20_0.15_0.0_0.0_0.002_0.0_0.0,0.8617212460063898,0.12559335443037975,0.035205696202531646
Model_0.0_0.15_0.0_0.0_0.001_0.0,0.8522364217252396,0.24732990506329114,0.20065268987341772
Model_40_linear_w10_r20_0.0_0.15_0.0_0.0_0.001_0.0,0.863917731629393,0.11689082278481013,0.030557753164556962
Model_0.0_0.0_0.04_0.0_0.0_0.003,0.858326677316294,0.22142009493670886,0.17464398734177214
Model_40_linear_w10_r20_0.0_0.0_0.04_0.0_0.0_0.003,0.8586261980830671,0.12549446202531644,0.01977848101265823
Model_0.15_0.15_0.04_0.002_0.001_0.003,0.8558306709265175,0.22666139240506328,0.17830300632911392
Model_40_linear_w10_r20_0.15_0.15_0.04_0.002_0.001_0.003,0.8533346645367412,0.10195806962025317,0.01997626582278481
