Model,Model Seed,Evaluation,Attack,Attack Source Seed,Accuracy
baseline,42,clean,clean,,0.8574
baseline,42,whitebox,fgsm,42,0.0456
baseline,42,whitebox,pgd10,42,0.0003
baseline,42,whitebox,pgd50,42,0.0002
baseline,42,transfer,fgsm,43,0.2383
baseline,42,transfer,pgd10,43,0.2308
baseline,42,transfer,fgsm,44,0.2358
baseline,42,transfer,pgd10,44,0.2074
baseline,42,transfer,fgsm,45,0.2331
baseline,42,transfer,pgd10,45,0.2111
baseline,42,transfer,fgsm,46,0.2177
baseline,42,transfer,pgd10,46,0.181
activation_block1,42,clean,clean,,0.8568
activation_block1,42,whitebox,fgsm,42,0.0752
activation_block1,42,whitebox,pgd10,42,0.0003
activation_block1,42,whitebox,pgd50,42,0.0001
activation_block1,42,transfer,fgsm,43,0.2769
activation_block1,42,transfer,pgd10,43,0.2621
activation_block1,42,transfer,fgsm,44,0.2802
activation_block1,42,transfer,pgd10,44,0.2499
activation_block1,42,transfer,fgsm,45,0.2789
activation_block1,42,transfer,pgd10,45,0.2615
activation_block1,42,transfer,fgsm,46,0.267
activation_block1,42,transfer,pgd10,46,0.2325
parameters_block1,42,clean,clean,,0.8599
parameters_block1,42,whitebox,fgsm,42,0.0596
parameters_block1,42,whitebox,pgd10,42,0.0004
parameters_block1,42,whitebox,pgd50,42,0.0
parameters_block1,42,transfer,fgsm,43,0.2641
parameters_block1,42,transfer,pgd10,43,0.3011
parameters_block1,42,transfer,fgsm,44,0.2766
parameters_block1,42,transfer,pgd10,44,0.2619
parameters_block1,42,transfer,fgsm,45,0.2667
parameters_block1,42,transfer,pgd10,45,0.2658
parameters_block1,42,transfer,fgsm,46,0.2589
parameters_block1,42,transfer,pgd10,46,0.2545
parameters_blocks,42,clean,clean,,0.8629
parameters_blocks,42,whitebox,fgsm,42,0.0517
parameters_blocks,42,whitebox,pgd10,42,0.0003
parameters_blocks,42,whitebox,pgd50,42,0.0001
parameters_blocks,42,transfer,fgsm,43,0.2827
parameters_blocks,42,transfer,pgd10,43,0.2768
parameters_blocks,42,transfer,fgsm,44,0.2946
parameters_blocks,42,transfer,pgd10,44,0.2573
parameters_blocks,42,transfer,fgsm,45,0.2847
parameters_blocks,42,transfer,pgd10,45,0.249
parameters_blocks,42,transfer,fgsm,46,0.2664
parameters_blocks,42,transfer,pgd10,46,0.2284
baseline,43,clean,clean,,0.8544
baseline,43,whitebox,fgsm,43,0.0563
baseline,43,whitebox,pgd10,43,0.0012
baseline,43,whitebox,pgd50,43,0.0006
baseline,43,transfer,fgsm,42,0.2201
baseline,43,transfer,pgd10,42,0.1838
baseline,43,transfer,fgsm,44,0.2359
baseline,43,transfer,pgd10,44,0.2128
baseline,43,transfer,fgsm,45,0.2295
baseline,43,transfer,pgd10,45,0.2097
baseline,43,transfer,fgsm,46,0.2199
baseline,43,transfer,pgd10,46,0.1929
activation_block1,43,clean,clean,,0.8564
activation_block1,43,whitebox,fgsm,43,0.0737
activation_block1,43,whitebox,pgd10,43,0.0014
activation_block1,43,whitebox,pgd50,43,0.0005
activation_block1,43,transfer,fgsm,42,0.2433
activation_block1,43,transfer,pgd10,42,0.2055
activation_block1,43,transfer,fgsm,44,0.269
activation_block1,43,transfer,pgd10,44,0.2402
activation_block1,43,transfer,fgsm,45,0.2612
activation_block1,43,transfer,pgd10,45,0.2356
activation_block1,43,transfer,fgsm,46,0.2367
activation_block1,43,transfer,pgd10,46,0.1982
parameters_block1,43,clean,clean,,0.8617
parameters_block1,43,whitebox,fgsm,43,0.0471
parameters_block1,43,whitebox,pgd10,43,0.0001
parameters_block1,43,whitebox,pgd50,43,0.0
parameters_block1,43,transfer,fgsm,42,0.2559
parameters_block1,43,transfer,pgd10,42,0.2074
parameters_block1,43,transfer,fgsm,44,0.2704
parameters_block1,43,transfer,pgd10,44,0.2246
parameters_block1,43,transfer,fgsm,45,0.2705
parameters_block1,43,transfer,pgd10,45,0.2288
parameters_block1,43,transfer,fgsm,46,0.2613
parameters_block1,43,transfer,pgd10,46,0.2118
parameters_blocks,43,clean,clean,,0.8602
parameters_blocks,43,whitebox,fgsm,43,0.063
parameters_blocks,43,whitebox,pgd10,43,0.0027
parameters_blocks,43,whitebox,pgd50,43,0.0005
parameters_blocks,43,transfer,fgsm,42,0.2323
parameters_blocks,43,transfer,pgd10,42,0.2168
parameters_blocks,43,transfer,fgsm,44,0.249
parameters_blocks,43,transfer,pgd10,44,0.2444
parameters_blocks,43,transfer,fgsm,45,0.2436
parameters_blocks,43,transfer,pgd10,45,0.2325
parameters_blocks,43,transfer,fgsm,46,0.2396
parameters_blocks,43,transfer,pgd10,46,0.2182
baseline,44,clean,clean,,0.8571
baseline,44,whitebox,fgsm,44,0.0522
baseline,44,whitebox,pgd10,44,0.0004
baseline,44,whitebox,pgd50,44,0.0
baseline,44,transfer,fgsm,42,0.2729
baseline,44,transfer,pgd10,42,0.2362
baseline,44,transfer,fgsm,43,0.2864
baseline,44,transfer,pgd10,43,0.2835
baseline,44,transfer,fgsm,45,0.2944
baseline,44,transfer,pgd10,45,0.27
baseline,44,transfer,fgsm,46,0.2717
baseline,44,transfer,pgd10,46,0.2386
activation_block1,44,clean,clean,,0.8521
activation_block1,44,whitebox,fgsm,44,0.0526
activation_block1,44,whitebox,pgd10,44,0.0005
activation_block1,44,whitebox,pgd50,44,0.0003
activation_block1,44,transfer,fgsm,42,0.2748
activation_block1,44,transfer,pgd10,42,0.217
activation_block1,44,transfer,fgsm,43,0.2956
activation_block1,44,transfer,pgd10,43,0.2644
activation_block1,44,transfer,fgsm,45,0.2897
activation_block1,44,transfer,pgd10,45,0.243
activation_block1,44,transfer,fgsm,46,0.2714
activation_block1,44,transfer,pgd10,46,0.2204
parameters_block1,44,clean,clean,,0.8605
parameters_block1,44,whitebox,fgsm,44,0.0594
