Model,Metric,Mean,Standard Deviation,Delta vs Baseline,Wins vs Baseline
baseline,clean,0.85656,0.0018955210365490408,0.0,
baseline,transfer_fgsm,0.24957000000000001,0.025651482656953762,0.0,
baseline,transfer_pgd10,0.229215,0.024709705835966565,0.0,
baseline,whitebox_fgsm,0.04574,0.008672542879686444,0.0,
baseline,whitebox_pgd10,0.00058,0.0004147288270665544,0.0,
baseline,whitebox_pgd50,0.00026,0.0002792848008753788,0.0,
activation_block1,clean,0.85642,0.002596536154186971,-0.0001400000000000068,2
activation_block1,transfer_fgsm,0.257765,0.020772552503243308,0.00819499999999999,3
activation_block1,transfer_pgd10,0.240195,0.013086316804204313,0.010980000000000007,4
activation_block1,whitebox_fgsm,0.06336,0.010348091611500162,0.01762,5
activation_block1,whitebox_pgd10,0.00082,0.0004969909455915671,0.00023999999999999998,4
activation_block1,whitebox_pgd50,0.00022,0.00019235384061671345,-3.9999999999999996e-05,1
parameters_block1,clean,0.86048,0.0007823042886243233,0.003920000000000012,5
parameters_block1,transfer_fgsm,0.26222,0.010295970085426626,0.01265,4
parameters_block1,transfer_pgd10,0.239185,0.0193042789945649,0.009970000000000007,2
parameters_block1,whitebox_fgsm,0.05462,0.005195863739552838,0.008879999999999999,4
parameters_block1,whitebox_pgd10,0.00046,0.0003781534080237808,-0.00011999999999999994,3
parameters_block1,whitebox_pgd50,0.00012,0.00017888543819998318,-0.00014,2
parameters_blocks,clean,0.85946,0.0026613906139460095,0.0028999999999999916,5
parameters_blocks,transfer_fgsm,0.259035,0.021610563100021237,0.009465000000000001,4
parameters_blocks,transfer_pgd10,0.229835,0.02238611874577636,0.0006200000000000039,3
parameters_blocks,whitebox_fgsm,0.05288,0.007827962697918278,0.007139999999999999,5
parameters_blocks,whitebox_pgd10,0.00084,0.0010430723848324239,0.00026000000000000003,2
parameters_blocks,whitebox_pgd50,0.00018,0.00019235384061671345,-7.999999999999999e-05,1
