Model,Model Seed,Evaluation,Attack,Attack Source Seed,Accuracy
baseline,42,clean,clean,,0.8477
baseline,42,whitebox,fgsm,42,0.0366
baseline,42,whitebox,pgd10,42,0.0
baseline,42,whitebox,pgd50,42,0.0
baseline,42,transfer,fgsm,43,0.2988
baseline,42,transfer,pgd10,43,0.2288
baseline,42,transfer,fgsm,44,0.3122
baseline,42,transfer,pgd10,44,0.2492
baseline,42,transfer,fgsm,45,0.3126
baseline,42,transfer,pgd10,45,0.2516
baseline,42,transfer,fgsm,46,0.3089
baseline,42,transfer,pgd10,46,0.2632
lateral_high,42,clean,clean,,0.8694
lateral_high,42,whitebox,fgsm,42,0.057
lateral_high,42,whitebox,pgd10,42,0.0001
lateral_high,42,whitebox,pgd50,42,0.0
lateral_high,42,transfer,fgsm,43,0.2607
lateral_high,42,transfer,pgd10,43,0.2178
lateral_high,42,transfer,fgsm,44,0.2679
lateral_high,42,transfer,pgd10,44,0.2373
lateral_high,42,transfer,fgsm,45,0.2608
lateral_high,42,transfer,pgd10,45,0.2317
lateral_high,42,transfer,fgsm,46,0.2614
lateral_high,42,transfer,pgd10,46,0.2481
dendrite_block1_low,42,clean,clean,,0.8637
dendrite_block1_low,42,whitebox,fgsm,42,0.0473
dendrite_block1_low,42,whitebox,pgd10,42,0.0
dendrite_block1_low,42,whitebox,pgd50,42,0.0
dendrite_block1_low,42,transfer,fgsm,43,0.2787
dendrite_block1_low,42,transfer,pgd10,43,0.2238
dendrite_block1_low,42,transfer,fgsm,44,0.2882
dendrite_block1_low,42,transfer,pgd10,44,0.2455
dendrite_block1_low,42,transfer,fgsm,45,0.2811
dendrite_block1_low,42,transfer,pgd10,45,0.2441
dendrite_block1_low,42,transfer,fgsm,46,0.2897
dendrite_block1_low,42,transfer,pgd10,46,0.255
all_parameter_high,42,clean,clean,,0.8597
all_parameter_high,42,whitebox,fgsm,42,0.0557
all_parameter_high,42,whitebox,pgd10,42,0.0
all_parameter_high,42,whitebox,pgd50,42,0.0
all_parameter_high,42,transfer,fgsm,43,0.2714
all_parameter_high,42,transfer,pgd10,43,0.2318
all_parameter_high,42,transfer,fgsm,44,0.2744
all_parameter_high,42,transfer,pgd10,44,0.258
all_parameter_high,42,transfer,fgsm,45,0.2636
all_parameter_high,42,transfer,pgd10,45,0.243
all_parameter_high,42,transfer,fgsm,46,0.274
all_parameter_high,42,transfer,pgd10,46,0.2508
baseline,43,clean,clean,,0.8562
baseline,43,whitebox,fgsm,43,0.0515
baseline,43,whitebox,pgd10,43,0.0
baseline,43,whitebox,pgd50,43,0.0
baseline,43,transfer,fgsm,42,0.2882
baseline,43,transfer,pgd10,42,0.2311
baseline,43,transfer,fgsm,44,0.3018
baseline,43,transfer,pgd10,44,0.2502
baseline,43,transfer,fgsm,45,0.2987
baseline,43,transfer,pgd10,45,0.2421
baseline,43,transfer,fgsm,46,0.2924
baseline,43,transfer,pgd10,46,0.2518
lateral_high,43,clean,clean,,0.8492
lateral_high,43,whitebox,fgsm,43,0.036
lateral_high,43,whitebox,pgd10,43,0.0
lateral_high,43,whitebox,pgd50,43,0.0
lateral_high,43,transfer,fgsm,42,0.2561
lateral_high,43,transfer,pgd10,42,0.2299
lateral_high,43,transfer,fgsm,44,0.2758
lateral_high,43,transfer,pgd10,44,0.2595
lateral_high,43,transfer,fgsm,45,0.2708
lateral_high,43,transfer,pgd10,45,0.2574
lateral_high,43,transfer,fgsm,46,0.285
lateral_high,43,transfer,pgd10,46,0.2693
dendrite_block1_low,43,clean,clean,,0.8583
dendrite_block1_low,43,whitebox,fgsm,43,0.0462
dendrite_block1_low,43,whitebox,pgd10,43,0.0
dendrite_block1_low,43,whitebox,pgd50,43,0.0
dendrite_block1_low,43,transfer,fgsm,42,0.2629
dendrite_block1_low,43,transfer,pgd10,42,0.2188
dendrite_block1_low,43,transfer,fgsm,44,0.2747
dendrite_block1_low,43,transfer,pgd10,44,0.2413
dendrite_block1_low,43,transfer,fgsm,45,0.2671
dendrite_block1_low,43,transfer,pgd10,45,0.2287
dendrite_block1_low,43,transfer,fgsm,46,0.2655
dendrite_block1_low,43,transfer,pgd10,46,0.2336
all_parameter_high,43,clean,clean,,0.8594
all_parameter_high,43,whitebox,fgsm,43,0.0459
all_parameter_high,43,whitebox,pgd10,43,0.0
all_parameter_high,43,whitebox,pgd50,43,0.0
all_parameter_high,43,transfer,fgsm,42,0.2384
all_parameter_high,43,transfer,pgd10,42,0.2061
all_parameter_high,43,transfer,fgsm,44,0.2442
all_parameter_high,43,transfer,pgd10,44,0.2252
all_parameter_high,43,transfer,fgsm,45,0.2441
all_parameter_high,43,transfer,pgd10,45,0.2197
all_parameter_high,43,transfer,fgsm,46,0.2432
all_parameter_high,43,transfer,pgd10,46,0.2218
baseline,44,clean,clean,,0.8598
baseline,44,whitebox,fgsm,44,0.048
baseline,44,whitebox,pgd10,44,0.0
baseline,44,whitebox,pgd50,44,0.0
baseline,44,transfer,fgsm,42,0.2909
baseline,44,transfer,pgd10,42,0.2252
baseline,44,transfer,fgsm,43,0.2896
baseline,44,transfer,pgd10,43,0.2149
baseline,44,transfer,fgsm,45,0.2979
baseline,44,transfer,pgd10,45,0.2353
baseline,44,transfer,fgsm,46,0.2945
baseline,44,transfer,pgd10,46,0.248
lateral_high,44,clean,clean,,0.8586
lateral_high,44,whitebox,fgsm,44,0.0404
lateral_high,44,whitebox,pgd10,44,0.0
lateral_high,44,whitebox,pgd50,44,0.0
lateral_high,44,transfer,fgsm,42,0.2881
lateral_high,44,transfer,pgd10,42,0.2313
lateral_high,44,transfer,fgsm,43,0.2904
lateral_high,44,transfer,pgd10,43,0.218
lateral_high,44,transfer,fgsm,45,0.2891
lateral_high,44,transfer,pgd10,45,0.2351
lateral_high,44,transfer,fgsm,46,0.289
lateral_high,44,transfer,pgd10,46,0.2469
dendrite_block1_low,44,clean,clean,,0.8615
dendrite_block1_low,44,whitebox,fgsm,44,0.0451
dendrite_block1_low,44,whitebox,pgd10,44,0.0
dendrite_block1_low,44,whitebox,pgd50,44,0.0
dendrite_block1_low,44,transfer,fgsm,42,0.2599
dendrite_block1_low,44,transfer,pgd10,42,0.2095
dendrite_block1_low,44,transfer,fgsm,43,0.2634
dendrite_block1_low,44,transfer,pgd10,43,0.1901
dendrite_block1_low,44,transfer,fgsm,45,0.2665
dendrite_block1_low,44,transfer,pgd10,45,0.2197
dendrite_block1_low,44,transfer,fgsm,46,0.2652
dendrite_block1_low,44,transfer,pgd10,46,0.2164
all_parameter_high,44,clean,clean,,0.8546
all_parameter_high,44,whitebox,fgsm,44,0.0412
all_parameter_high,44,whitebox,pgd10,44,0.0
all_parameter_high,44,whitebox,pgd50,44,0.0
all_parameter_high,44,transfer,fgsm,42,0.2716
all_parameter_high,44,transfer,pgd10,42,0.2354
all_parameter_high,44,transfer,fgsm,43,0.2688
all_parameter_high,44,transfer,pgd10,43,0.2161
all_parameter_high,44,transfer,fgsm,45,0.2801
all_parameter_high,44,transfer,pgd10,45,0.2406
all_parameter_high,44,transfer,fgsm,46,0.2777
all_parameter_high,44,transfer,pgd10,46,0.2515
baseline,45,clean,clean,,0.8557
baseline,45,whitebox,fgsm,45,0.0526
baseline,45,whitebox,pgd10,45,0.0
baseline,45,whitebox,pgd50,45,0.0
baseline,45,transfer,fgsm,42,0.2561
baseline,45,transfer,pgd10,42,0.2047
baseline,45,transfer,fgsm,43,0.255
baseline,45,transfer,pgd10,43,0.1962
baseline,45,transfer,fgsm,44,0.2629
baseline,45,transfer,pgd10,44,0.22
baseline,45,transfer,fgsm,46,0.2611
baseline,45,transfer,pgd10,46,0.2239
lateral_high,45,clean,clean,,0.8619
lateral_high,45,whitebox,fgsm,45,0.0596
lateral_high,45,whitebox,pgd10,45,0.0
lateral_high,45,whitebox,pgd50,45,0.0
lateral_high,45,transfer,fgsm,42,0.3028
lateral_high,45,transfer,pgd10,42,0.2481
lateral_high,45,transfer,fgsm,43,0.3065
lateral_high,45,transfer,pgd10,43,0.2375
lateral_high,45,transfer,fgsm,44,0.327
lateral_high,45,transfer,pgd10,44,0.283
lateral_high,45,transfer,fgsm,46,0.304
lateral_high,45,transfer,pgd10,46,0.26
dendrite_block1_low,45,clean,clean,,0.8596
dendrite_block1_low,45,whitebox,fgsm,45,0.0501
dendrite_block1_low,45,whitebox,pgd10,45,0.0
dendrite_block1_low,45,whitebox,pgd50,45,0.0
dendrite_block1_low,45,transfer,fgsm,42,0.2874
dendrite_block1_low,45,transfer,pgd10,42,0.2205
dendrite_block1_low,45,transfer,fgsm,43,0.2816
dendrite_block1_low,45,transfer,pgd10,43,0.2091
dendrite_block1_low,45,transfer,fgsm,44,0.2987
dendrite_block1_low,45,transfer,pgd10,44,0.241
dendrite_block1_low,45,transfer,fgsm,46,0.2909
dendrite_block1_low,45,transfer,pgd10,46,0.2289
all_parameter_high,45,clean,clean,,0.8584
all_parameter_high,45,whitebox,fgsm,45,0.0457
all_parameter_high,45,whitebox,pgd10,45,0.0
all_parameter_high,45,whitebox,pgd50,45,0.0
all_parameter_high,45,transfer,fgsm,42,0.2846
all_parameter_high,45,transfer,pgd10,42,0.2302
all_parameter_high,45,transfer,fgsm,43,0.2846
all_parameter_high,45,transfer,pgd10,43,0.2028
all_parameter_high,45,transfer,fgsm,44,0.2981
all_parameter_high,45,transfer,pgd10,44,0.2474
all_parameter_high,45,transfer,fgsm,46,0.2872
all_parameter_high,45,transfer,pgd10,46,0.2386
baseline,46,clean,clean,,0.8627
baseline,46,whitebox,fgsm,46,0.0519
baseline,46,whitebox,pgd10,46,0.0
baseline,46,whitebox,pgd50,46,0.0
baseline,46,transfer,fgsm,42,0.2609
baseline,46,transfer,pgd10,42,0.2149
baseline,46,transfer,fgsm,43,0.2602
baseline,46,transfer,pgd10,43,0.2052
baseline,46,transfer,fgsm,44,0.2695
baseline,46,transfer,pgd10,44,0.2301
baseline,46,transfer,fgsm,45,0.2684
baseline,46,transfer,pgd10,45,0.2274
lateral_high,46,clean,clean,,0.8533
lateral_high,46,whitebox,fgsm,46,0.0416
lateral_high,46,whitebox,pgd10,46,0.0
lateral_high,46,whitebox,pgd50,46,0.0
lateral_high,46,transfer,fgsm,42,0.2809
lateral_high,46,transfer,pgd10,42,0.2366
lateral_high,46,transfer,fgsm,43,0.293
lateral_high,46,transfer,pgd10,43,0.2387
lateral_high,46,transfer,fgsm,44,0.2936
lateral_high,46,transfer,pgd10,44,0.2556
lateral_high,46,transfer,fgsm,45,0.3007
lateral_high,46,transfer,pgd10,45,0.2668
dendrite_block1_low,46,clean,clean,,0.8561
dendrite_block1_low,46,whitebox,fgsm,46,0.0427
dendrite_block1_low,46,whitebox,pgd10,46,0.0
dendrite_block1_low,46,whitebox,pgd50,46,0.0
dendrite_block1_low,46,transfer,fgsm,42,0.2515
dendrite_block1_low,46,transfer,pgd10,42,0.2029
dendrite_block1_low,46,transfer,fgsm,43,0.2487
dendrite_block1_low,46,transfer,pgd10,43,0.1873
dendrite_block1_low,46,transfer,fgsm,44,0.2577
dendrite_block1_low,46,transfer,pgd10,44,0.2161
dendrite_block1_low,46,transfer,fgsm,45,0.2669
dendrite_block1_low,46,transfer,pgd10,45,0.2251
all_parameter_high,46,clean,clean,,0.8643
all_parameter_high,46,whitebox,fgsm,46,0.0497
all_parameter_high,46,whitebox,pgd10,46,0.0
all_parameter_high,46,whitebox,pgd50,46,0.0
all_parameter_high,46,transfer,fgsm,42,0.2386
all_parameter_high,46,transfer,pgd10,42,0.1923
all_parameter_high,46,transfer,fgsm,43,0.2481
all_parameter_high,46,transfer,pgd10,43,0.1954
all_parameter_high,46,transfer,fgsm,44,0.2542
all_parameter_high,46,transfer,pgd10,44,0.2096
all_parameter_high,46,transfer,fgsm,45,0.2574
all_parameter_high,46,transfer,pgd10,45,0.2212
