Model,Metric,Mean,Standard Deviation,Delta vs Baseline,Wins vs Baseline
baseline,clean,0.85642,0.005645086358949706,0.0,
baseline,transfer_fgsm,0.28403,0.02121968720316112,0.0,
baseline,transfer_pgd10,0.23069,0.015698901235436838,0.0,
baseline,whitebox_fgsm,0.04812,0.006680344302504176,0.0,
baseline,whitebox_pgd10,0.0,0.0,0.0,
baseline,whitebox_pgd50,0.0,0.0,0.0,
lateral_high,clean,0.85848,0.007808777112967182,0.002059999999999973,2
lateral_high,transfer_fgsm,0.28518,0.018464589421376267,0.0011499999999999954,2
lateral_high,transfer_pgd10,0.24543,0.011435531251323657,0.014739999999999998,4
lateral_high,whitebox_fgsm,0.046919999999999996,0.010635412544889833,-0.001200000000000001,2
lateral_high,whitebox_pgd10,2e-05,4.4721359549995795e-05,2e-05,1
lateral_high,whitebox_pgd50,0.0,0.0,0.0,0
dendrite_block1_low,clean,0.85984,0.002918561289402737,0.0034200000000000007,4
dendrite_block1_low,transfer_fgsm,0.27231500000000003,0.014167850930892813,-0.011714999999999986,1
dendrite_block1_low,transfer_pgd10,0.22286999999999998,0.014608467150936824,-0.007820000000000004,1
dendrite_block1_low,whitebox_fgsm,0.04628,0.0027316661582265124,-0.00184,1
dendrite_block1_low,whitebox_pgd10,0.0,0.0,0.0,0
dendrite_block1_low,whitebox_pgd50,0.0,0.0,0.0,0
all_parameter_high,clean,0.85928,0.003466554485364368,0.002860000000000018,4
all_parameter_high,transfer_fgsm,0.265215,0.018898682163050427,-0.018815000000000005,1
all_parameter_high,transfer_pgd10,0.226875,0.015984250060606536,-0.0038149999999999963,2
all_parameter_high,whitebox_fgsm,0.04764,0.005419225036847981,-0.00047999999999999985,1
all_parameter_high,whitebox_pgd10,0.0,0.0,0.0,0
all_parameter_high,whitebox_pgd50,0.0,0.0,0.0,0
