Model,Seed,Sigma Lateral,Sigma Prop,Sigma Add,Pyramidal Sigma,Pyramidal Gamma,Pyramidal B,Omega1,Omega2,Omega3,Dendrite Theta1,Dendrite Sigma1,Dendrite Theta2,Dendrite Sigma2,Dendrite Theta3,Dendrite Sigma3,Accuracy,Attacked Accuracy FGSM,Attacked Accuracy PGD
baseline,42,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8476437699680511,0.0960245253164557,0.004252373417721519
zero_noise_control,43,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8561301916932907,0.28639240506329117,0.23130933544303797
lateral_low,42,0.02,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8580271565495208,0.23655063291139242,0.16920490506329114
lateral_base,42,0.05,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.860323482428115,0.23477056962025317,0.16900712025316456
lateral_high,42,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8693091054313099,0.23625395569620253,0.20233386075949367
contrast_low,42,0.0,0.02,0.005,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8596246006389776,0.20609177215189872,0.1672270569620253
contrast_base,42,0.0,0.05,0.01,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541333865814696,0.22636471518987342,0.17236946202531644
contrast_high,42,0.0,0.1,0.02,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.860223642172524,0.21934335443037975,0.1750395569620253
pyramidal_low,42,0.0,0.0,0.0,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8590255591054313,0.21726661392405064,0.15249208860759494
pyramidal_base,42,0.0,0.0,0.0,0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8587260383386581,0.20708069620253164,0.16702927215189872
pyramidal_high,42,0.0,0.0,0.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8628194888178914,0.2555379746835443,0.17157832278481014
axon_block1_low,42,0.0,0.0,0.0,0.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8579273162939297,0.22369462025316456,0.1606012658227848
axon_block1_base,42,0.0,0.0,0.0,0.0,1.0,1.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8715055910543131,0.2221123417721519,0.1463607594936709
