model,approach,eps,clean,robust,ASR,L2,Linf,jnd_L2,jnd_Linf
mine,transfer,2/255,0.88,0.826,0.067,1.153,0.0078,194.2,3.31
model_kkk_16cm,transfer,2/255,0.892,0.736,0.177,1.165,0.0078,449.3,6.76
model_kkk_4cm,transfer,2/255,0.898,0.761,0.155,1.165,0.0078,90.6,1.42
model_kkk_8cm,transfer,2/255,0.878,0.767,0.128,1.165,0.0078,188.5,3.07
model_kkk_None,transfer,2/255,0.892,0.785,0.121,1.165,0.0078,44.9,1.0
model_rgb,transfer,2/255,0.902,0.143,0.841,1.165,0.0078,,
model_xzk_16cm,transfer,2/255,0.879,0.746,0.151,1.165,0.0078,259.4,6.76
model_xzk_4cm,transfer,2/255,0.899,0.768,0.146,1.165,0.0078,52.5,1.42
model_xzk_8cm,transfer,2/255,0.876,0.758,0.137,1.165,0.0078,108.9,3.07
model_xzk_None,transfer,2/255,0.896,0.802,0.106,1.165,0.0078,26.4,1.0
mine,white-box,2/255,0.884,0.552,0.376,1.086,0.0078,188.9,3.3
model_kkk_16cm,white-box,2/255,0.892,0.189,0.788,1.16,0.0078,466.4,6.86
model_kkk_4cm,white-box,2/255,0.898,0.246,0.726,1.152,0.0078,92.4,1.45
model_kkk_8cm,white-box,2/255,0.878,0.216,0.754,1.16,0.0078,193.0,3.1
model_kkk_None,white-box,2/255,0.892,0.342,0.617,1.157,0.0078,44.2,1.0
model_rgb,white-box,2/255,0.902,0.183,0.797,1.165,0.0078,,
model_xzk_16cm,white-box,2/255,0.879,0.2,0.772,1.161,0.0078,267.1,6.87
model_xzk_4cm,white-box,2/255,0.899,0.363,0.596,1.163,0.0078,50.9,1.39
model_xzk_8cm,white-box,2/255,0.876,0.235,0.732,1.16,0.0078,111.9,3.09
model_xzk_None,white-box,2/255,0.896,0.394,0.56,1.153,0.0078,25.7,1.0
mine,transfer,4/255,0.884,0.752,0.155,2.191,0.0157,343.2,6.03
model_kkk_16cm,transfer,4/255,0.892,0.551,0.383,2.225,0.0157,758.7,12.1
model_kkk_4cm,transfer,4/255,0.898,0.553,0.384,2.225,0.0157,135.4,2.44
model_kkk_8cm,transfer,4/255,0.878,0.561,0.362,2.225,0.0157,315.9,5.57
model_kkk_None,transfer,4/255,0.892,0.652,0.269,2.225,0.0157,61.7,1.0
model_rgb,transfer,4/255,0.902,0.011,0.988,2.225,0.0157,,
model_xzk_16cm,transfer,4/255,0.879,0.558,0.365,2.225,0.0157,438.1,12.1
model_xzk_4cm,transfer,4/255,0.899,0.613,0.318,2.225,0.0157,78.3,2.44
model_xzk_8cm,transfer,4/255,0.876,0.563,0.36,2.225,0.0157,182.4,5.57
model_xzk_None,transfer,4/255,0.896,0.682,0.241,2.225,0.0157,36.0,1.0
mine,white-box,4/255,0.884,0.225,0.745,2.195,0.0157,351.7,6.05
model_kkk_16cm,white-box,4/255,0.892,0.023,0.974,2.23,0.0157,777.4,12.2
model_kkk_4cm,white-box,4/255,0.898,0.035,0.961,2.213,0.0157,139.4,2.49
model_kkk_8cm,white-box,4/255,0.878,0.033,0.962,2.238,0.0157,323.4,5.62
model_kkk_None,white-box,4/255,0.892,0.082,0.908,2.222,0.0157,61.2,1.0
model_rgb,white-box,4/255,0.902,0.025,0.972,2.226,0.0157,,
model_xzk_16cm,white-box,4/255,0.879,0.025,0.972,2.23,0.0157,449.4,12.24
model_xzk_4cm,white-box,4/255,0.899,0.088,0.902,2.251,0.0157,75.8,2.41
model_xzk_8cm,white-box,4/255,0.876,0.033,0.962,2.232,0.0157,186.9,5.63
model_xzk_None,white-box,4/255,0.896,0.128,0.857,2.218,0.0157,35.4,1.0
mine,transfer,8/255,0.884,0.599,0.324,4.045,0.0314,602.4,10.83
model_kkk_16cm,transfer,8/255,0.892,0.22,0.753,4.152,0.0314,1250.3,21.15
